Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Jeffrey Steller,3.7,3,Biological Sciences,1.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2077657,0.6849999999999999
Seungcheol Lee,4.0,3,Communication,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1804065,0.6849999999999999
David Hogan,3.5,37,Psychology,0.5,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/393156,0.6841052631578948
Jerome Gonnella,3.9,23,Business Informatics,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/900795,0.6835
Cathy Ingram,3.5,13,Health,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/764804,0.6805714285714286
Elizabeth Schoulties,5.0,2,Nursing,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1046114,0.6799999999999999
Danielle Donley,4.5,2,Communication,0.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1948684,0.6799999999999999
Kathleen Broomall,5.0,2,Biological Sciences,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1517136,0.6799999999999999
Gary Gray,3.9,5,Management,0.75,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2475655,0.679
Mari Hoffman,4.0,24,Mathematics,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/768078,0.6779999999999999
Sara Mahle,4.6,7,"Radio, TV & Film",0.0,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1225995,0.6764999999999999
Renee Human,4.9,5,Not Specified,0.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1564850,0.676
Monica Gallegos,3.7,12,Communication,0.75,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1870134,0.675923076923077
Robert Brice,3.8,19,Philosophy,0.65,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2196341,0.6739999999999999
Patrick Ashley,4.5,4,Communication,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2067254,0.672
Marie Jump,2.6,9,Mathematics,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1633731,0.67
Jennifer Kinsley,5.0,1,Law,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2707490,0.67
Sarah Keefe,4.0,1,Information Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2454140,0.67
Barbara Cowan,5.0,1,Social Work,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2810914,0.67
Wayne Bresser,5.0,1,Information Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2768792,0.67
Kasey Kuhjada,5.0,1,English,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2872898,0.67
Brian Sauer,5.0,1,Computer Science,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2808775,0.67
Ian Aiuto,5.0,1,Social Work,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2809949,0.67
Brendan Snyder,4.2,5,English,0.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1062932,0.6699999999999999
Shana Cronican,4.2,8,Women's Studies,0.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1281299,0.6686666666666667
